,dka_index,dka_risk_score,loop_max_basal_rate,sbr
0,22.917,4,0.08,0.05
1,22.917,4,0.1,0.05
2,2.917,1,0.15,0.05
3,3.167,1,0.25,0.05
4,5.083,1,0.5,0.05
5,3.167,1,0.15,0.1
6,2.25,1,0.2,0.1
7,0.917,0,0.3,0.1
8,1.833,0,0.5,0.1
9,1.083,0,1.0,0.1
10,1.583,0,0.23,0.15
11,0.167,0,0.3,0.15
12,0.25,0,0.45,0.15
13,0.583,0,0.75,0.15
14,0.583,0,1.5,0.15
15,0.0,0,0.3,0.2
16,0.0,0,0.4,0.2
17,0.0,0,0.6,0.2
18,0.0,0,1.0,0.2
19,0.0,0,2.0,0.2
20,0.0,0,0.38,0.25
21,0.0,0,0.5,0.25
22,0.0,0,0.75,0.25
23,0.0,0,1.25,0.25
24,0.0,0,2.5,0.25
25,0.0,0,0.45,0.3
26,0.0,0,0.6,0.3
27,0.0,0,0.9,0.3
28,0.0,0,1.5,0.3
29,0.0,0,3.0,0.3
30,0.0,0,0.52,0.35
31,0.0,0,0.7,0.35
32,0.0,0,1.05,0.35
33,0.0,0,1.75,0.35
34,0.0,0,3.5,0.35
35,0.0,0,0.6,0.4
36,0.0,0,0.8,0.4
37,0.0,0,1.2,0.4
38,0.0,0,2.0,0.4
39,0.0,0,4.0,0.4
40,0.0,0,0.68,0.45
41,0.0,0,0.9,0.45
42,0.0,0,1.35,0.45
43,0.0,0,2.25,0.45
44,0.0,0,4.5,0.45
45,0.0,0,0.75,0.5
46,0.0,0,1.0,0.5
47,0.0,0,1.5,0.5
48,0.0,0,2.5,0.5
49,0.0,0,5.0,0.5
50,0.0,0,0.82,0.55
51,0.0,0,1.1,0.55
52,0.0,0,1.65,0.55
53,0.0,0,2.75,0.55
54,0.0,0,5.5,0.55
55,0.0,0,0.9,0.6
56,0.0,0,1.2,0.6
57,0.0,0,1.8,0.6
58,0.0,0,3.0,0.6
59,0.0,0,6.0,0.6
60,0.0,0,0.98,0.65
61,0.0,0,1.3,0.65
62,0.0,0,1.95,0.65
63,0.0,0,3.25,0.65
64,0.0,0,6.5,0.65
65,0.0,0,1.05,0.7
66,0.0,0,1.4,0.7
67,0.0,0,2.1,0.7
68,0.0,0,3.5,0.7
69,0.0,0,7.0,0.7
